sampleID,Carbon,Concentration,Rep,Treatment,Day
a1eL7,Acetate,1 uM-C,E,LOM,7
a400bP7,Acetate,400 uM-C,B,PRI,7
a400cP7,Acetate,400 uM-C,C,PRI,7
a400dP7,Acetate,400 uM-C,D,PRI,7
a400eP7,Acetate,400 uM-C,E,PRI,7
a40aP7,Acetate,40 uM-C,A,PRI,7
a40bP7,Acetate,40 uM-C,B,PRI,7
a40cP7,Acetate,40 uM-C,C,PRI,7
a40dP7,Acetate,40 uM-C,D,PRI,7
a40eP7,Acetate,40 uM-C,E,PRI,7
a4aP7,Acetate,4 uM-C,A,PRI,7
a4bP7,Acetate,4 uM-C,B,PRI,7
a4cP7,Acetate,4 uM-C,C,PRI,7
a4dP7,Acetate,4 uM-C,D,PRI,7
a4eP7,Acetate,4 uM-C,E,PRI,7
a1aP7,Acetate,1 uM-C,A,PRI,7
a1bP7,Acetate,1 uM-C,B,PRI,7
a1cP7,Acetate,1 uM-C,C,PRI,7
a1dP7,Acetate,1 uM-C,D,PRI,7
a1eP7,Acetate,1 uM-C,E,PRI,7
a400aL10,Acetate,400 uM-C,A,LOM,10
a400bL10,Acetate,400 uM-C,B,LOM,10
a400cL10,Acetate,400 uM-C,C,LOM,10
a400dL10,Acetate,400 uM-C,D,LOM,10
a400eL10,Acetate,400 uM-C,E,LOM,10
a40aL10,Acetate,40 uM-C,A,LOM,10
a40bL10,Acetate,40 uM-C,B,LOM,10
a40cL10,Acetate,40 uM-C,C,LOM,10
a40dL10,Acetate,40 uM-C,D,LOM,10
a40eL10,Acetate,40 uM-C,E,LOM,10
a4aL10,Acetate,4 uM-C,A,LOM,10
a4bL10,Acetate,4 uM-C,B,LOM,10
a4cL10,Acetate,4 uM-C,C,LOM,10
a4dL10,Acetate,4 uM-C,D,LOM,10
a4eL10,Acetate,4 uM-C,E,LOM,10
a1aL10,Acetate,1 uM-C,A,LOM,10
a1bL10,Acetate,1 uM-C,B,LOM,10
a1cL10,Acetate,1 uM-C,C,LOM,10
a1dL10,Acetate,1 uM-C,D,LOM,10
a1eL10,Acetate,1 uM-C,E,LOM,10
a400aP10,Acetate,400 uM-C,A,PRI,10
a400bP10,Acetate,400 uM-C,B,PRI,10
a400cP10,Acetate,400 uM-C,C,PRI,10
a400dP10,Acetate,400 uM-C,D,PRI,10
a400eP10,Acetate,400 uM-C,E,PRI,10
a40aP10,Acetate,40 uM-C,A,PRI,10
a40bP10,Acetate,40 uM-C,B,PRI,10
a40cP10,Acetate,40 uM-C,C,PRI,10
a40dP10,Acetate,40 uM-C,D,PRI,10
a40eP10,Acetate,40 uM-C,E,PRI,10
a4aP10,Acetate,4 uM-C,A,PRI,10
a4bP10,Acetate,4 uM-C,B,PRI,10
a4cP10,Acetate,4 uM-C,C,PRI,10
a4dP10,Acetate,4 uM-C,D,PRI,10
a4eP10,Acetate,4 uM-C,E,PRI,10
a1aP10,Acetate,1 uM-C,A,PRI,10
a1bP10,Acetate,1 uM-C,B,PRI,10
a1cP10,Acetate,1 uM-C,C,PRI,10
a1dP10,Acetate,1 uM-C,D,PRI,10
a1eP10,Acetate,1 uM-C,E,PRI,10
a400aL14,Acetate,400 uM-C,A,LOM,14
a400cL14,Acetate,400 uM-C,C,LOM,14
a400dL14,Acetate,400 uM-C,D,LOM,14
a400eL14,Acetate,400 uM-C,E,LOM,14
a40aL14,Acetate,40 uM-C,A,LOM,14
a40bL14,Acetate,40 uM-C,B,LOM,14
a40cL14,Acetate,40 uM-C,C,LOM,14
a40dL14,Acetate,40 uM-C,D,LOM,14
a40eL14,Acetate,40 uM-C,E,LOM,14
a4aL14,Acetate,4 uM-C,A,LOM,14
a4bL14,Acetate,4 uM-C,B,LOM,14
a4cL14,Acetate,4 uM-C,C,LOM,14
a4dL14,Acetate,4 uM-C,D,LOM,14
a4eL14,Acetate,4 uM-C,E,LOM,14
a1aL14,Acetate,1 uM-C,A,LOM,14
a1bL14,Acetate,1 uM-C,B,LOM,14
a1cL14,Acetate,1 uM-C,C,LOM,14
a1dL14,Acetate,1 uM-C,D,LOM,14
a1eL14,Acetate,1 uM-C,E,LOM,14
a400aP14,Acetate,400 uM-C,A,PRI,14
a400bP14,Acetate,400 uM-C,B,PRI,14
a400cP14,Acetate,400 uM-C,C,PRI,14
a400dP14,Acetate,400 uM-C,D,PRI,14
a400eP14,Acetate,400 uM-C,E,PRI,14
a40aP14,Acetate,40 uM-C,A,PRI,14
a40bP14,Acetate,40 uM-C,B,PRI,14
a40cP14,Acetate,40 uM-C,C,PRI,14
a40dP14,Acetate,40 uM-C,D,PRI,14
a40eP14,Acetate,40 uM-C,E,PRI,14
a4aP14,Acetate,4 uM-C,A,PRI,14
a4bP14,Acetate,4 uM-C,B,PRI,14
a4cP14,Acetate,4 uM-C,C,PRI,14
a4dP14,Acetate,4 uM-C,D,PRI,14
a4eP14,Acetate,4 uM-C,E,PRI,14
a1aP14,Acetate,1 uM-C,A,PRI,14
a1bP14,Acetate,1 uM-C,B,PRI,14
a1cP14,Acetate,1 uM-C,C,PRI,14
a1dP14,Acetate,1 uM-C,D,PRI,14
a1eP14,Acetate,1 uM-C,E,PRI,14
ca400aL0,Casamino,400 uM-C,A,LOM,0
ca400bL0,Casamino,400 uM-C,B,LOM,0
ca400cL0,Casamino,400 uM-C,C,LOM,0
ca400dL0,Casamino,400 uM-C,D,LOM,0
ca400eL0,Casamino,400 uM-C,E,LOM,0
ca40aL0,Casamino,40 uM-C,A,LOM,0
ca40bL0,Casamino,40 uM-C,B,LOM,0
ca40cL0,Casamino,40 uM-C,C,LOM,0
ca40dL0,Casamino,40 uM-C,D,LOM,0
ca40eL0,Casamino,40 uM-C,E,LOM,0
ca4aL0,Casamino,4 uM-C,A,LOM,0
ca4bL0,Casamino,4 uM-C,B,LOM,0
ca4cL0,Casamino,4 uM-C,C,LOM,0
ca4dL0,Casamino,4 uM-C,D,LOM,0
ca1aL0,Casamino,1 uM-C,A,LOM,0
ca1bL0,Casamino,1 uM-C,B,LOM,0
ca1cL0,Casamino,1 uM-C,C,LOM,0
ca1dL0,Casamino,1 uM-C,D,LOM,0
ca1eL0,Casamino,1 uM-C,E,LOM,0
ca400aP0,Casamino,400 uM-C,A,PRI,0
ca400bP0,Casamino,400 uM-C,B,PRI,0
ca400cP0,Casamino,400 uM-C,C,PRI,0
ca400dP0,Casamino,400 uM-C,D,PRI,0
ca400eP0,Casamino,400 uM-C,E,PRI,0
ca40aP0,Casamino,40 uM-C,A,PRI,0
ca40bP0,Casamino,40 uM-C,B,PRI,0
ca40cP0,Casamino,40 uM-C,C,PRI,0
ca40dP0,Casamino,40 uM-C,D,PRI,0
ca40eP0,Casamino,40 uM-C,E,PRI,0
ca4aP0,Casamino,4 uM-C,A,PRI,0
ca4bP0,Casamino,4 uM-C,B,PRI,0
ca4cP0,Casamino,4 uM-C,C,PRI,0
ca4dP0,Casamino,4 uM-C,D,PRI,0
ca4eP0,Casamino,4 uM-C,E,PRI,0
ca1aP0,Casamino,1 uM-C,A,PRI,0
ca1bP0,Casamino,1 uM-C,B,PRI,0
ca1cP0,Casamino,1 uM-C,C,PRI,0
ca1dP0,Casamino,1 uM-C,D,PRI,0
ca1eP0,Casamino,1 uM-C,E,PRI,0
ca400aL1,Casamino,400 uM-C,A,LOM,1
ca400bL1,Casamino,400 uM-C,B,LOM,1
ca400cL1,Casamino,400 uM-C,C,LOM,1
ca400dL1,Casamino,400 uM-C,D,LOM,1
ca400eL1,Casamino,400 uM-C,E,LOM,1
ca40aL1,Casamino,40 uM-C,A,LOM,1
ca40bL1,Casamino,40 uM-C,B,LOM,1
ca40cL1,Casamino,40 uM-C,C,LOM,1
ca40dL1,Casamino,40 uM-C,D,LOM,1
ca40eL1,Casamino,40 uM-C,E,LOM,1
ca4aL1,Casamino,4 uM-C,A,LOM,1
ca4bL1,Casamino,4 uM-C,B,LOM,1
ca4cL1,Casamino,4 uM-C,C,LOM,1
ca4dL1,Casamino,4 uM-C,D,LOM,1
ca4eL1,Casamino,4 uM-C,E,LOM,1
ca1aL1,Casamino,1 uM-C,A,LOM,1
ca1bL1,Casamino,1 uM-C,B,LOM,1
ca1cL1,Casamino,1 uM-C,C,LOM,1
ca1dL1,Casamino,1 uM-C,D,LOM,1
ca1eL1,Casamino,1 uM-C,E,LOM,1
ca400aP1,Casamino,400 uM-C,A,PRI,1
ca400bP1,Casamino,400 uM-C,B,PRI,1
ca400cP1,Casamino,400 uM-C,C,PRI,1
ca400dP1,Casamino,400 uM-C,D,PRI,1
ca400eP1,Casamino,400 uM-C,E,PRI,1
ca40aP1,Casamino,40 uM-C,A,PRI,1
ca40bP1,Casamino,40 uM-C,B,PRI,1
ca40cP1,Casamino,40 uM-C,C,PRI,1
ca40dP1,Casamino,40 uM-C,D,PRI,1
ca40eP1,Casamino,40 uM-C,E,PRI,1
ca4aP1,Casamino,4 uM-C,A,PRI,1
ca4bP1,Casamino,4 uM-C,B,PRI,1
ca4cP1,Casamino,4 uM-C,C,PRI,1
ca4dP1,Casamino,4 uM-C,D,PRI,1
ca4eP1,Casamino,4 uM-C,E,PRI,1
ca1aP1,Casamino,1 uM-C,A,PRI,1
ca1bP1,Casamino,1 uM-C,B,PRI,1
ca1dP1,Casamino,1 uM-C,D,PRI,1
ca1eP1,Casamino,1 uM-C,E,PRI,1
ca400aL2,Casamino,400 uM-C,A,LOM,2
ca400bL2,Casamino,400 uM-C,B,LOM,2
ca400cL2,Casamino,400 uM-C,C,LOM,2
ca400dL2,Casamino,400 uM-C,D,LOM,2
ca400eL2,Casamino,400 uM-C,E,LOM,2
ca40aL2,Casamino,40 uM-C,A,LOM,2
ca40bL2,Casamino,40 uM-C,B,LOM,2
ca40cL2,Casamino,40 uM-C,C,LOM,2
ca40dL2,Casamino,40 uM-C,D,LOM,2
ca40eL2,Casamino,40 uM-C,E,LOM,2
ca4aL2,Casamino,4 uM-C,A,LOM,2
ca4bL2,Casamino,4 uM-C,B,LOM,2
ca4dL2,Casamino,4 uM-C,D,LOM,2
ca4eL2,Casamino,4 uM-C,E,LOM,2
ca1aL2,Casamino,1 uM-C,A,LOM,2
ca1cL2,Casamino,1 uM-C,C,LOM,2
ca1dL2,Casamino,1 uM-C,D,LOM,2
ca1eL2,Casamino,1 uM-C,E,LOM,2
ca400aP2,Casamino,400 uM-C,A,PRI,2
ca400bP2,Casamino,400 uM-C,B,PRI,2
ca400cP2,Casamino,400 uM-C,C,PRI,2
ca400dP2,Casamino,400 uM-C,D,PRI,2
ca400eP2,Casamino,400 uM-C,E,PRI,2
ca40aP2,Casamino,40 uM-C,A,PRI,2
ca40bP2,Casamino,40 uM-C,B,PRI,2
ca40cP2,Casamino,40 uM-C,C,PRI,2
ca40dP2,Casamino,40 uM-C,D,PRI,2
ca40eP2,Casamino,40 uM-C,E,PRI,2
ca4aP2,Casamino,4 uM-C,A,PRI,2
ca4bP2,Casamino,4 uM-C,B,PRI,2
ca4dP2,Casamino,4 uM-C,D,PRI,2
ca4eP2,Casamino,4 uM-C,E,PRI,2
ca1aP2,Casamino,1 uM-C,A,PRI,2
ca1bP2,Casamino,1 uM-C,B,PRI,2
ca1cP2,Casamino,1 uM-C,C,PRI,2
ca1dP2,Casamino,1 uM-C,D,PRI,2
ca1eP2,Casamino,1 uM-C,E,PRI,2
ca400aL4,Casamino,400 uM-C,A,LOM,4
ca400bL4,Casamino,400 uM-C,B,LOM,4
ca400dL4,Casamino,400 uM-C,D,LOM,4
ca400eL4,Casamino,400 uM-C,E,LOM,4
ca40bL4,Casamino,40 uM-C,B,LOM,4
ca40cL4,Casamino,40 uM-C,C,LOM,4
ca40dL4,Casamino,40 uM-C,D,LOM,4
ca40eL4,Casamino,40 uM-C,E,LOM,4
ca4aL4,Casamino,4 uM-C,A,LOM,4
ca4bL4,Casamino,4 uM-C,B,LOM,4
ca4cL4,Casamino,4 uM-C,C,LOM,4
ca4dL4,Casamino,4 uM-C,D,LOM,4
ca4eL4,Casamino,4 uM-C,E,LOM,4
ca1aL4,Casamino,1 uM-C,A,LOM,4
ca1bL4,Casamino,1 uM-C,B,LOM,4
ca1cL4,Casamino,1 uM-C,C,LOM,4
ca1dL4,Casamino,1 uM-C,D,LOM,4
ca1eL4,Casamino,1 uM-C,E,LOM,4
ca400aP4,Casamino,400 uM-C,A,PRI,4
ca400bP4,Casamino,400 uM-C,B,PRI,4
ca400cP4,Casamino,400 uM-C,C,PRI,4
ca400dP4,Casamino,400 uM-C,D,PRI,4
ca400eP4,Casamino,400 uM-C,E,PRI,4
ca40aP4,Casamino,40 uM-C,A,PRI,4
ca40bP4,Casamino,40 uM-C,B,PRI,4
ca40cP4,Casamino,40 uM-C,C,PRI,4
ca40dP4,Casamino,40 uM-C,D,PRI,4
ca40eP4,Casamino,40 uM-C,E,PRI,4
ca4aP4,Casamino,4 uM-C,A,PRI,4
ca4bP4,Casamino,4 uM-C,B,PRI,4
ca4cP4,Casamino,4 uM-C,C,PRI,4
ca4dP4,Casamino,4 uM-C,D,PRI,4
ca4eP4,Casamino,4 uM-C,E,PRI,4
ca1aP4,Casamino,1 uM-C,A,PRI,4
ca1bP4,Casamino,1 uM-C,B,PRI,4
ca1cP4,Casamino,1 uM-C,C,PRI,4
ca1dP4,Casamino,1 uM-C,D,PRI,4
ca1eP4,Casamino,1 uM-C,E,PRI,4
ca400aL7,Casamino,400 uM-C,A,LOM,7
ca400bL7,Casamino,400 uM-C,B,LOM,7
ca400dL7,Casamino,400 uM-C,D,LOM,7
ca400eL7,Casamino,400 uM-C,E,LOM,7
ca40aL7,Casamino,40 uM-C,A,LOM,7
ca40bL7,Casamino,40 uM-C,B,LOM,7
ca40cL7,Casamino,40 uM-C,C,LOM,7
ca40dL7,Casamino,40 uM-C,D,LOM,7
ca4aL7,Casamino,4 uM-C,A,LOM,7
ca4bL7,Casamino,4 uM-C,B,LOM,7
ca4cL7,Casamino,4 uM-C,C,LOM,7
ca4dL7,Casamino,4 uM-C,D,LOM,7
ca4eL7,Casamino,4 uM-C,E,LOM,7
ca1aL7,Casamino,1 uM-C,A,LOM,7
ca1bL7,Casamino,1 uM-C,B,LOM,7
ca1cL7,Casamino,1 uM-C,C,LOM,7
ca1dL7,Casamino,1 uM-C,D,LOM,7
ca1eL7,Casamino,1 uM-C,E,LOM,7
ca400aP7,Casamino,400 uM-C,A,PRI,7
ca400bP7,Casamino,400 uM-C,B,PRI,7
ca400cP7,Casamino,400 uM-C,C,PRI,7
