Strain,Treatment,Rep,Count,Experiment
SE45,Casa4Lom,A,740000,ViableCount
SE45,Casa4Lom,B,130000,ViableCount
SE45,Casa4Lom,C,1200000,ViableCount
SE45,Casa4Lom,D,1140000,ViableCount
SE45,Casa4Lom,E,400000,ViableCount
SE45,Casa4Pri,A,300000,ViableCount
SE45,Casa4Pri,B,600000,ViableCount
SE45,Casa4Pri,C,1000000,ViableCount
SE45,Casa4Pri,D,500000,ViableCount
SE45,Casa4Pri,E,700000,ViableCount
SE45,Casa40Lom,A,620000,ViableCount
SE45,Casa40Lom,B,660000,ViableCount
SE45,Casa40Lom,C,720000,ViableCount
SE45,Casa40Lom,D,610000,ViableCount
SE45,Casa40Lom,E,1040000,ViableCount
SE45,Casa40Pri,A,1700000,ViableCount
SE45,Casa40Pri,B,1400000,ViableCount
SE45,Casa40Pri,C,1500000,ViableCount
SE45,Casa40Pri,D,1200000,ViableCount
SE45,Casa40Pri,E,1900000,ViableCount
SE45,Casa400Lom,A,2010000,ViableCount
SE45,Casa400Lom,B,1790000,ViableCount
SE45,Casa400Lom,C,600000,ViableCount
SE45,Casa400Lom,D,1100000,ViableCount
SE45,Casa400Lom,E,1040000,ViableCount
SE45,Casa400Pri,A,7600000,ViableCount
SE45,Casa400Pri,B,3900000,ViableCount
SE45,Casa400Pri,C,6000000,ViableCount
SE45,Casa400Pri,D,4300000,ViableCount
SE45,Casa400Pri,E,6500000,ViableCount
SE45,Coum400Lom,A,1060000,ViableCount
SE45,Coum400Lom,B,3320000,ViableCount
SE45,Coum400Lom,C,2160000,ViableCount
SE45,Coum400Lom,D,4170000,ViableCount
SE45,Coum400Lom,E,1940000,ViableCount
SE45,Coum400Pri,A,1800000,ViableCount
SE45,Coum400Pri,B,1400000,ViableCount
SE45,Coum400Pri,C,4200000,ViableCount
SE45,Coum400Pri,D,2100000,ViableCount
SE45,Coum400Pri,E,2500000,ViableCount
SE45,Ace400Pri,A,26600000,ViableCount
SE45,Ace400Pri,B,27300000,ViableCount
SE45,Ace400Pri,C,20000000,ViableCount
SE45,Ace400Pri,D,22200000,ViableCount
SE45,Ace400Pri,E,23700000,ViableCount
SE45,Ace400Lom,A,4400000,ViableCount
SE45,Ace400Lom,B,6600000,ViableCount
