Int,Treatment,Carbon,Concentration,Rep,Strain,CO2Accum,Expt
4,PRI,Casamino Acids,4 uM-C,B,Community,34.634,1
4,PRI,Casamino Acids,4 uM-C,C,Community,34.478,1
4,LOM,Casamino Acids,1 uM-C,A,Community,26.748,1
4,LOM,Casamino Acids,1 uM-C,B,Community,26.809,1
4,LOM,Casamino Acids,1 uM-C,C,Community,25.739,1
4,composite,Casamino Acids,1 uM-C,A,Community,39.824,1
4,composite,Casamino Acids,1 uM-C,B,Community,39.365,1
4,composite,Casamino Acids,1 uM-C,C,Community,37.164,1
4,PRI,Casamino Acids,1 uM-C,A,Community,36.525,1
4,PRI,Casamino Acids,1 uM-C,B,Community,36.936,1
4,PRI,Casamino Acids,1 uM-C,C,Community,42.059,1
5,ABM,Control_low,0 uM-C,A,Community,15.509,1
5,ABM,Control_low,0 uM-C,B,Community,9.799,1
5,ABM,Control_low,0 uM-C,C,Community,12.649,1
5,NOM,Control_low,0 uM-C,A,Community,15.29,1
5,NOM,Control_low,0 uM-C,B,Community,14.288,1
5,NOM,Control_low,0 uM-C,C,Community,13.766,1
5,LOM,Casamino Acids,40 uM-C,A,Community,18.006,1
5,LOM,Casamino Acids,40 uM-C,B,Community,20.438,1
5,LOM,Casamino Acids,40 uM-C,C,Community,22.032,1
5,composite,Casamino Acids,40 uM-C,A,Community,33.296,1
5,composite,Casamino Acids,40 uM-C,B,Community,34.726,1
5,composite,Casamino Acids,40 uM-C,C,Community,35.798,1
5,PRI,Casamino Acids,40 uM-C,A,Community,58.446,1
5,PRI,Casamino Acids,40 uM-C,B,Community,58.571,1
5,PRI,Casamino Acids,40 uM-C,C,Community,56.577,1
5,LOM,Casamino Acids,4 uM-C,A,Community,12.495,1
5,LOM,Casamino Acids,4 uM-C,B,Community,13.521,1
5,LOM,Casamino Acids,4 uM-C,C,Community,14.003,1
5,composite,Casamino Acids,4 uM-C,A,Community,27.785,1
5,composite,Casamino Acids,4 uM-C,B,Community,27.809,1
5,composite,Casamino Acids,4 uM-C,C,Community,27.769,1
5,PRI,Casamino Acids,4 uM-C,A,Community,40.332,1
5,PRI,Casamino Acids,4 uM-C,B,Community,42.117,1
5,PRI,Casamino Acids,4 uM-C,C,Community,42.316,1
5,LOM,Casamino Acids,1 uM-C,A,Community,29.475,1
5,LOM,Casamino Acids,1 uM-C,B,Community,30.016,1
5,LOM,Casamino Acids,1 uM-C,C,Community,28.91,1
5,composite,Casamino Acids,1 uM-C,A,Community,44.765,1
5,composite,Casamino Acids,1 uM-C,B,Community,44.304,1
5,composite,Casamino Acids,1 uM-C,C,Community,42.676,1
5,PRI,Casamino Acids,1 uM-C,A,Community,44.213,1
5,PRI,Casamino Acids,1 uM-C,B,Community,44.424,1
5,PRI,Casamino Acids,1 uM-C,C,Community,50.406,1
6,ABM,Control_low,0 uM-C,A,Community,15.511,1
6,ABM,Control_low,0 uM-C,B,Community,10.282,1
6,ABM,Control_low,0 uM-C,C,Community,12.868,1
6,NOM,Control_low,0 uM-C,A,Community,18.68,1
6,NOM,Control_low,0 uM-C,B,Community,16.11,1
6,NOM,Control_low,0 uM-C,C,Community,17.481,1
6,LOM,Casamino Acids,40 uM-C,A,Community,22.402,1
6,LOM,Casamino Acids,40 uM-C,B,Community,25.003,1
6,LOM,Casamino Acids,40 uM-C,C,Community,28.205,1
6,composite,Casamino Acids,40 uM-C,A,Community,41.082,1
6,composite,Casamino Acids,40 uM-C,B,Community,41.113,1
6,composite,Casamino Acids,40 uM-C,C,Community,45.686,1
6,PRI,Casamino Acids,40 uM-C,A,Community,69.759,1
6,PRI,Casamino Acids,40 uM-C,B,Community,71.052,1
