Carbon,Concentration,Treatment,Strain,Rep,CO2_1,CO2_2,Time_1,Time_2,Rate
Acetate,400 uM-C,NOM,Community,C,39.416,137.778,24.46,51.366,3.655764513
Coumarate,400 uM-C,LOM,Community,A,88.597,328.671,24.46,51.366,8.922693823
Coumarate,400 uM-C,LOM,Community,B,71.143,289.251,24.46,51.366,8.106295993
Coumarate,400 uM-C,LOM,Community,C,80.653,349.299,24.46,51.366,9.984613097
Coumarate,400 uM-C,NOM,Community,A,33.995,116.355,24.46,51.366,3.06102728
Coumarate,400 uM-C,NOM,Community,B,38.69,128.781,24.46,51.366,3.34836096
Coumarate,400 uM-C,NOM,Community,C,39.416,137.778,24.46,51.366,3.655764513
Control_1,2 mM-C,NOM,Community,A,86.326,186.113,45.9,76.5,3.261013072
Control_1,2 mM-C,NOM,Community,B,81.709,179.886,45.9,76.5,3.208398693
Control_1,2 mM-C,NOM,Community,C,83.113,178.124,45.9,76.5,3.104934641
Casamino Acids,1 uM-C,PRI,Community,A,10.547,311.434,2.55,76.5,4.068789723
Casamino Acids,1 uM-C,PRI,Community,B,11.211,328.667,2.55,76.5,4.292846518
Casamino Acids,1 uM-C,PRI,Community,C,10.608,344.682,2.55,76.5,4.517565923
Casamino Acids,4 uM-C,PRI,Community,A,123.872,537.661,25.5,71.4,9.015010893
Casamino Acids,4 uM-C,PRI,Community,B,128.014,547.485,25.5,71.4,9.138801743
Casamino Acids,4 uM-C,PRI,Community,C,130.942,555.813,25.5,71.4,9.256448802
Casamino Acids,40 uM-C,PRI,Community,A,185.794,406.39,38.25,76.5,5.767215686
Casamino Acids,40 uM-C,PRI,Community,B,200.043,449.343,38.25,76.5,6.517647059
Casamino Acids,40 uM-C,PRI,Community,C,193.194,425.88,38.25,76.5,6.083294118
Casamino Acids,400 uM-C,PRI,Community,A,8.083,87.9,24.46,51.366,2.966513045
Casamino Acids,400 uM-C,PRI,Community,B,15.751,108.724,24.46,51.366,3.455474615
Acetate,400 uM-C,PRI,Community,A,25.943,182.693,24.46,51.366,5.825838103
Acetate,400 uM-C,PRI,Community,B,24.288,177.219,24.46,51.366,5.683899502
Acetate,400 uM-C,PRI,Community,C,33.522,192.038,24.46,51.366,5.891474021
Coumarate,400 uM-C,PRI,Community,A,78.458,317.711,24.46,51.366,8.892180183
Coumarate,400 uM-C,PRI,Community,B,84.079,328.235,24.46,51.366,9.074407195
Coumarate,400 uM-C,PRI,Community,C,94.046,345.56,24.46,51.366,9.347877797
