Day,Concentration,Carbon,Treatment,Rep,Count
4,40 uM-C,Casamino Acids,ABM,B,1640000
4,40 uM-C,Casamino Acids,ABM,D,1820000
4,40 uM-C,Casamino Acids,ABM,E,1340000
4,40 uM-C,Casamino Acids,LOM,A,3900000
4,40 uM-C,Casamino Acids,LOM,B,3200000
4,40 uM-C,Casamino Acids,LOM,C,1100000
4,40 uM-C,Casamino Acids,LOM,D,4500000
4,40 uM-C,Casamino Acids,LOM,E,4400000
4,40 uM-C,Casamino Acids,NOM,A,6200000
4,40 uM-C,Casamino Acids,NOM,B,1300000
4,40 uM-C,Casamino Acids,NOM,C,800000
4,40 uM-C,Casamino Acids,NOM,D,500000
4,40 uM-C,Casamino Acids,NOM,E,12200000
4,40 uM-C,Casamino Acids,composite,A,10100000
4,40 uM-C,Casamino Acids,composite,B,4500000
4,40 uM-C,Casamino Acids,composite,C,1900000
4,40 uM-C,Casamino Acids,composite,D,5000000
4,40 uM-C,Casamino Acids,composite,E,16600000
4,40 uM-C,Casamino Acids,PRI,A,12100000
4,40 uM-C,Casamino Acids,PRI,B,9200000
4,40 uM-C,Casamino Acids,PRI,C,12600000
4,40 uM-C,Casamino Acids,PRI,D,9500000
4,40 uM-C,Casamino Acids,PRI,E,11100000
4,400 uM-C,Casamino Acids,ABM,A,1120000
4,400 uM-C,Casamino Acids,ABM,B,1640000
4,400 uM-C,Casamino Acids,ABM,D,1820000
4,400 uM-C,Casamino Acids,ABM,E,1340000
4,400 uM-C,Casamino Acids,LOM,A,14500000
4,400 uM-C,Casamino Acids,LOM,B,16200000
4,400 uM-C,Casamino Acids,LOM,C,19800000
4,400 uM-C,Casamino Acids,LOM,D,5400000
4,400 uM-C,Casamino Acids,LOM,E,6500000
4,400 uM-C,Casamino Acids,NOM,A,6200000
4,400 uM-C,Casamino Acids,NOM,B,1300000
4,400 uM-C,Casamino Acids,NOM,C,800000
4,400 uM-C,Casamino Acids,NOM,D,500000
4,400 uM-C,Casamino Acids,NOM,E,12200000
4,400 uM-C,Casamino Acids,composite,A,20700000
4,400 uM-C,Casamino Acids,composite,B,17500000
4,400 uM-C,Casamino Acids,composite,C,20600000
4,400 uM-C,Casamino Acids,composite,D,5900000
4,400 uM-C,Casamino Acids,composite,E,18700000
4,400 uM-C,Casamino Acids,PRI,A,23000000
4,400 uM-C,Casamino Acids,PRI,B,15000000
4,400 uM-C,Casamino Acids,PRI,C,19000000
4,400 uM-C,Casamino Acids,PRI,E,14000000
0,4 uM-C,Tryptone,ABM,A,22500
0,4 uM-C,Tryptone,ABM,B,18600
0,4 uM-C,Tryptone,ABM,C,25900
0,4 uM-C,Tryptone,ABM,D,27100
0,4 uM-C,Tryptone,ABM,E,23600
0,4 uM-C,Tryptone,LOM,A,19300
0,4 uM-C,Tryptone,LOM,B,19000
0,4 uM-C,Tryptone,LOM,C,25200
0,4 uM-C,Tryptone,LOM,D,18500
0,4 uM-C,Tryptone,LOM,E,25100
0,4 uM-C,Tryptone,NOM,A,24900
0,4 uM-C,Tryptone,NOM,B,23900
0,4 uM-C,Tryptone,NOM,C,27800
0,4 uM-C,Tryptone,NOM,D,21000
0,4 uM-C,Tryptone,NOM,E,26000
0,4 uM-C,Tryptone,composite,A,44200
0,4 uM-C,Tryptone,composite,B,42900
0,4 uM-C,Tryptone,composite,C,53000
0,4 uM-C,Tryptone,composite,D,39500
0,4 uM-C,Tryptone,composite,E,51100
0,4 uM-C,Tryptone,PRI,A,22500
0,4 uM-C,Tryptone,PRI,B,17700
0,4 uM-C,Tryptone,PRI,C,22800
0,4 uM-C,Tryptone,PRI,D,25900
0,4 uM-C,Tryptone,PRI,E,24200
0,40 uM-C,Tryptone,ABM,A,22500
0,40 uM-C,Tryptone,ABM,B,18600
0,40 uM-C,Tryptone,ABM,C,25900
0,40 uM-C,Tryptone,ABM,D,27100
0,40 uM-C,Tryptone,ABM,E,23600
0,40 uM-C,Tryptone,LOM,A,26100
0,40 uM-C,Tryptone,LOM,B,30100
0,40 uM-C,Tryptone,LOM,C,23300
0,40 uM-C,Tryptone,LOM,D,20700
0,40 uM-C,Tryptone,LOM,E,20400
0,40 uM-C,Tryptone,NOM,A,24900
0,40 uM-C,Tryptone,NOM,B,23900
0,40 uM-C,Tryptone,NOM,C,27800
0,40 uM-C,Tryptone,NOM,D,21000
0,40 uM-C,Tryptone,NOM,E,26000
0,40 uM-C,Tryptone,composite,A,51000
0,40 uM-C,Tryptone,composite,B,54000
0,40 uM-C,Tryptone,composite,C,51100
0,40 uM-C,Tryptone,composite,D,41700
0,40 uM-C,Tryptone,composite,E,46400
0,40 uM-C,Tryptone,PRI,A,21000
0,40 uM-C,Tryptone,PRI,B,22600
0,40 uM-C,Tryptone,PRI,C,23200
0,40 uM-C,Tryptone,PRI,D,27000
0,40 uM-C,Tryptone,PRI,E,22100
0,400 uM-C,Tryptone,ABM,A,22500
0,400 uM-C,Tryptone,ABM,B,18600
0,400 uM-C,Tryptone,ABM,C,25900
0,400 uM-C,Tryptone,ABM,D,27100
0,400 uM-C,Tryptone,ABM,E,23600
0,400 uM-C,Tryptone,LOM,A,23700
0,400 uM-C,Tryptone,LOM,B,17900
0,400 uM-C,Tryptone,LOM,C,23000
0,400 uM-C,Tryptone,LOM,D,21100
0,400 uM-C,Tryptone,LOM,E,12600
0,400 uM-C,Tryptone,NOM,A,24900
0,400 uM-C,Tryptone,NOM,B,23900
0,400 uM-C,Tryptone,NOM,C,27800
0,400 uM-C,Tryptone,NOM,D,21000
0,400 uM-C,Tryptone,NOM,E,26000
0,400 uM-C,Tryptone,composite,A,48600
0,400 uM-C,Tryptone,composite,B,41800
0,400 uM-C,Tryptone,composite,C,50800
0,400 uM-C,Tryptone,composite,D,42100
0,400 uM-C,Tryptone,composite,E,38600
0,400 uM-C,Tryptone,PRI,A,22700
