Day,Concentration,Treatment,Rep,Count,Carbon
2,40 uM-C,composite,B,1226000,Casamino Acids
2,40 uM-C,composite,C,1275000,Casamino Acids
2,40 uM-C,composite,D,1136000,Casamino Acids
2,40 uM-C,composite,E,1091000,Casamino Acids
2,40 uM-C,PRI,A,920000,Casamino Acids
2,40 uM-C,PRI,B,1110000,Casamino Acids
2,40 uM-C,PRI,C,1090000,Casamino Acids
2,40 uM-C,PRI,D,1170000,Casamino Acids
2,40 uM-C,PRI,E,810000,Casamino Acids
2,400 uM-C,ABM,A,709000,Casamino Acids
2,400 uM-C,ABM,B,440000,Casamino Acids
2,400 uM-C,ABM,C,461000,Casamino Acids
2,400 uM-C,ABM,D,407000,Casamino Acids
2,400 uM-C,ABM,E,630000,Casamino Acids
2,400 uM-C,LOM,A,4050000,Casamino Acids
2,400 uM-C,LOM,B,4000000,Casamino Acids
2,400 uM-C,LOM,C,2530000,Casamino Acids
2,400 uM-C,LOM,E,3390000,Casamino Acids
2,400 uM-C,NOM,B,543000,Casamino Acids
2,400 uM-C,NOM,C,474000,Casamino Acids
2,400 uM-C,NOM,D,379000,Casamino Acids
2,400 uM-C,NOM,E,433000,Casamino Acids
2,400 uM-C,composite,B,4543000,Casamino Acids
2,400 uM-C,composite,C,3004000,Casamino Acids
2,400 uM-C,composite,E,3823000,Casamino Acids
2,400 uM-C,PRI,A,3320000,Casamino Acids
2,400 uM-C,PRI,B,4000000,Casamino Acids
2,400 uM-C,PRI,C,3960000,Casamino Acids
2,400 uM-C,PRI,D,3780000,Casamino Acids
2,400 uM-C,PRI,E,3540000,Casamino Acids
4,4 uM-C,ABM,A,1550000,Casamino Acids
4,4 uM-C,ABM,B,960000,Casamino Acids
4,4 uM-C,ABM,C,1680000,Casamino Acids
4,4 uM-C,ABM,D,1290000,Casamino Acids
4,4 uM-C,ABM,E,1550000,Casamino Acids
4,4 uM-C,LOM,A,970000,Casamino Acids
4,4 uM-C,LOM,B,1480000,Casamino Acids
4,4 uM-C,LOM,C,1090000,Casamino Acids
4,4 uM-C,LOM,D,1460000,Casamino Acids
4,4 uM-C,LOM,E,1280000,Casamino Acids
4,4 uM-C,NOM,A,1300000,Casamino Acids
4,4 uM-C,NOM,B,800000,Casamino Acids
4,4 uM-C,NOM,C,1700000,Casamino Acids
4,4 uM-C,NOM,D,2400000,Casamino Acids
4,4 uM-C,NOM,E,1800000,Casamino Acids
4,4 uM-C,composite,A,2270000,Casamino Acids
4,4 uM-C,composite,B,2280000,Casamino Acids
4,4 uM-C,composite,C,2790000,Casamino Acids
4,4 uM-C,composite,D,3860000,Casamino Acids
4,4 uM-C,composite,E,3080000,Casamino Acids
4,4 uM-C,PRI,A,1400000,Casamino Acids
4,4 uM-C,PRI,B,500000,Casamino Acids
4,4 uM-C,PRI,C,1400000,Casamino Acids
4,4 uM-C,PRI,D,1400000,Casamino Acids
4,4 uM-C,PRI,E,1100000,Casamino Acids
4,40 uM-C,ABM,A,1550000,Casamino Acids
4,40 uM-C,ABM,B,960000,Casamino Acids
4,40 uM-C,ABM,C,1680000,Casamino Acids
4,40 uM-C,ABM,D,1290000,Casamino Acids
4,40 uM-C,ABM,E,1550000,Casamino Acids
4,40 uM-C,LOM,A,1320000,Casamino Acids
4,40 uM-C,LOM,B,1920000,Casamino Acids
4,40 uM-C,LOM,C,1720000,Casamino Acids
4,40 uM-C,LOM,D,1560000,Casamino Acids
4,40 uM-C,LOM,E,1640000,Casamino Acids
4,40 uM-C,NOM,A,1300000,Casamino Acids
4,40 uM-C,NOM,B,800000,Casamino Acids
4,40 uM-C,NOM,C,1700000,Casamino Acids
